word,definition,difficulty
nominal,insignificantly small; a matter of form only,2
enduring,unceasing,2
impertinent,improperly forward or bold,2
bland,lacking stimulating characteristics; uninteresting,2
insinuate,suggest in an indirect or covert way; give to understand,2
suppliant,humbly entreating,2
languid,lacking spirit or liveliness,2
monetary,relating to or involving money,2
rave,praise enthusiastically,2
headlong,in a hasty and foolhardy manner,2
infallible,incapable of failure or error,2
coax,influence or persuade by gentle and persistent urging,2
explicate,"elaborate, as of theories and hypotheses",2
gaunt,very thin especially from disease or hunger or cold,2
morbid,suggesting the horror of death and decay,2
ranging,wandering freely,2
pacify,"ease the anger, agitation, or strong emotion of",2
pastoral,idyllically rustic,2
dogged,stubbornly unyielding,2
ebb,fall away or decline,2
aide,someone who acts as an assistant,2
appease,cause to be more favorably inclined; gain the good will of,2
stipulate,make an express demand or provision in an agreement,2
recourse,something or someone turned to for assistance or security,2
constrained,lacking spontaneity; not natural,2
bate,moderate or restrain; lessen the force of,2
aversion,a feeling of intense dislike,2
conceit,an artistic device or effect,2
loath,strongly opposed,2
rampart,an embankment built around a space for defensive purposes,2
extort,obtain by coercion or intimidation,2
tarry,leave slowly and hesitantly,2
perpetrate,"perform an act, usually with a negative connotation",2
decorum,propriety in manners and conduct,2
luxuriant,produced or growing in extreme abundance,2
cant,insincere talk about religion or morals,2
enjoin,give instructions to or direct somebody to do something,2
avarice,extreme greed for material wealth,2
edict,a formal or authoritative proclamation,2
disconcert,cause to lose one's composure,2
symmetry,balance among the parts of something,2
capitulate,surrender under agreed conditions,2
arbitrate,act between parties with a view to reconciling differences,2
cleave,"separate or cut with a tool, such as a sharp instrument",2
append,add to the very end,2
visage,the human face,2
horde,a moving crowd,2
chastise,scold or criticize severely,2
foil,"hinder or prevent, as an effort, plan, or desire",2
veritable,being truly so called; real or genuine,2
grapple,work hard to come to terms with or deal with something,2
gentry,the most powerful members of a society,2
pall,a sudden feeling of dread or gloominess,2
maxim,a saying that is widely accepted on its own merits,2
projection,a prediction made by extrapolating from past observations,2
prowess,a superior skill learned by study and practice,2
dingy,thickly covered with ingrained dirt or soot,2
semblance,the outward or apparent appearance or form of something,2
tout,advertise in strongly positive terms,2
fortitude,strength of mind that enables one to endure adversity,2
parable,a short moral story,2
asunder,into parts or pieces,2
rout,an overwhelming defeat,2
staid,characterized by dignity and propriety,2
beguile,influence by slyness,2
purport,have the often misleading appearance of being or intending,2
deprave,corrupt morally or by intemperance or sensuality,2
bequeath,"leave or give, especially by will after one's death",2
enigma,something that baffles understanding and cannot be explained,2
assiduous,marked by care and persistent effort,2
placate,cause to be more favorably inclined,2
vassal,a person who owes allegiance and service to a feudal lord,2
quail,"draw back, as with fear or pain",2
outskirts,"area relatively far from the center, as of a city or town",2
bulwark,a protective structure of stone or concrete,2
swerve,an erratic turn from an intended course,2
gird,prepare oneself for action or a confrontation,2
betrothed,pledged to be married,2
prospective,of or concerned with or related to the future,2
advert,make reference to,2
peremptory,not allowing contradiction or refusal,2
rudiment,the elementary stage of any subject,2
deduce,reason from the general to the particular,2
halting,"proceeding in a fragmentary, hesitant, or ineffective way",2
ignominy,a state of dishonor,2
ideology,an orientation that characterizes the thinking of a group,2
pallid,lacking in vitality or interest or effectiveness,2
chagrin,strong feelings of embarrassment,2
obtrude,thrust oneself in as if by force,2
audacious,disposed to venture or take risks,2
construe,make sense of; assign a meaning to,2
ford,cross a river where it's shallow,2
repast,the food served and eaten at one time,2
stint,an unbroken period of time during which you do something,2
fresco,a mural done with watercolors on wet plaster,2
dutiful,willingly obedient out of a sense of respect,2
hew,make or shape as with an axe,2
parity,functional equality,2
affable,diffusing warmth and friendliness,2
interminable,tiresomely long; seemingly without end,2
pillage,steal goods; take as spoils,2
foreboding,a feeling of evil to come,2
rend,tear or be torn violently,2
livelihood,the financial means whereby one supports oneself,2
deign,do something that one considers to be below one's dignity,2
capricious,determined by chance or impulse rather than by necessity,2
stupendous,"so great in size, force, or extent as to elicit awe",2
chaff,material consisting of seed coverings and pieces of stem,2
innate,not established by conditioning or learning,2
reverie,an abstracted state of absorption,2
wrangle,"quarrel noisily, angrily, or disruptively",2
crevice,a long narrow opening,2
ostensible,appearing as such but not necessarily so,2
craven,lacking even the rudiments of courage; abjectly fearful,2
vestige,an indication that something has been present,2
plumb,examine thoroughly and in great depth,2
reticent,not inclined to talk or provide information,2
propensity,an inclination to do something,2
chide,scold or reprimand severely or angrily,2
espouse,"choose and follow a theory, idea, policy, etc.",2
raiment,especially fine or decorative clothing,2
intrepid,invulnerable to fear or intimidation,2
seemly,according with custom or propriety,2
allay,lessen the intensity of or calm,2
fitful,occurring in spells and often abruptly,2
erode,become ground down or deteriorate,2
unaffected,free of artificiality; sincere and genuine,2
canto,a major division of a long poem,2
docile,easily handled or managed,2
patronize,treat condescendingly,2
teem,be full of or abuzz with,2
estrange,arouse hostility or indifference in,2
spat,a quarrel about petty points,2
warble,sing or play with trills,2
mien,"a person's appearance, manner, or demeanor",2
sate,fill to contentment,2
constituency,the body of voters who elect a representative for their area,2
patrician,characteristic of the nobility or aristocracy,2
parry,"avoid or try to avoid fulfilling, answering, or performing",2
practitioner,someone who carries out a learned profession,2
ravel,disentangle or separate out,2
infest,occupy in large numbers or live on a host,2
actuate,give an incentive for doing something,2
surly,unfriendly and inclined toward anger or irritation,2
convalesce,get over an illness or shock,2
demoralize,lower someone's spirits; make downhearted,2
devolve,grow worse,2
alacrity,liveliness and eagerness,2
waive,do without or cease to hold or adhere to,2
unwonted,out of the ordinary,2
seethe,be in an agitated emotional state,2
scrutinize,"look at critically or searchingly, or in minute detail",2
diffident,lacking self-confidence,2
execrate,curse or declare to be evil or anathema,2
implacable,incapable of being appeased or pacified,2
pique,a sudden outburst of anger,2
mite,a slight but appreciable amount,2
encumber,"hold back, impede, or weigh down",2
uncouth,lacking refinement or cultivation or taste,2
petulant,easily irritated or annoyed,2
expiate,make amends for,2
cavalier,showing a lack of concern or seriousness,2
banter,light teasing repartee,2
bluster,"act in an arrogant, overly self-assured, or conceited manner",2
debase,corrupt morally or by intemperance or sensuality,2
retainer,a person working in the service of another,2
subjugate,make subservient; force to submit or subdue,2
extol,"praise, glorify, or honor",2
fraught,filled with or attended with,2
august,profoundly honored,2
fissure,a long narrow depression in a surface,2
knoll,a small natural hill,2
callous,emotionally hardened,2
inculcate,teach and impress by frequent repetitions or admonitions,2
nettle,"disturb, especially by minor irritations",2
blanch,"turn pale, as if in fear",2
inscrutable,difficult or impossible to understand,2
tenacious,stubbornly unyielding,2
thrall,the state of being under the control of another person,2
exigency,a pressing or urgent situation,2
disconsolate,sad beyond comforting; incapable of being soothed,2
impetus,a force that makes something happen,2
imposition,an uncalled-for burden,2
auspices,kindly endorsement and guidance,2
sonorous,full and loud and deep,2
exploitation,an act that victimizes someone,2
bane,something causing misery or death,2
dint,force or effort,2
ignominious,deserving or bringing disgrace or shame,2
amicable,characterized by friendship and good will,2
onset,the beginning or early stages,2
conservatory,a schoolhouse with special facilities for fine arts,2
zenith,the highest point of something,2
voluble,marked by a ready flow of speech,2
yeoman,a free man who cultivates his own land,2
levity,a manner lacking seriousness,2
rapt,feeling great delight and interest,2
sultry,characterized by oppressive heat and humidity,2
pinion,restrain or bind,2
axiom,a proposition that is not susceptible of proof or disproof,2
descry,catch sight of,2
retinue,the group following and attending to some important person,2
functionary,a worker who holds or is invested with an office,2
imbibe,take in liquids,2
diversified,having variety of character or form or components,2
maraud,raid and rove in search of plunder,2
grudging,petty or reluctant in giving or spending,2
partiality,a predisposition to like something,2
philology,the humanistic study of language and literature,2
wry,humorously sarcastic or mocking,2
caucus,meet to select a candidate or promote a policy,2
permeate,spread or diffuse through,2
propitious,presenting favorable circumstances,2
salient,"conspicuous, prominent, or important",2
resonant,characterized by a loud deep sound,2
propitiate,make peace with,2
excise,remove by cutting,2
betoken,be a signal for or a symptom of,2
palatable,acceptable to the taste or mind,2
upbraid,express criticism towards,2
renegade,someone who rebels and becomes an outlaw,2
hoary,ancient,2
pedantic,marked by a narrow focus on or display of learning,2
coy,showing marked and often playful evasiveness or reluctance,2
troth,a solemn pledge of fidelity,2
encroachment,entry to another's property without right or permission,2
belie,be in contradiction with,2
armada,a large fleet,2
succor,assistance in time of difficulty,2
imperturbable,marked by extreme calm and composure,2
irresolute,uncertain how to act or proceed,2
knack,a special way of doing something,2
unseemly,not in keeping with accepted standards of what is proper,2
accentuate,stress or single out as important,2
divulge,make known to the public information previously kept secret,2
brawn,the trait of possessing muscular strength,2
burnish,polish and make shiny,3
palpitate,beat rapidly,3
promiscuous,not selective of a single class or person,3
dissemble,make believe with the intent to deceive,3
flotilla,a fleet of small craft,3
invective,abusive language used to express blame or censure,3
hermitage,the abode of a recluse,3
despoil,destroy and strip of its possession,3
sully,make dirty or spotty,3
malevolent,having or exerting a malignant influence,3
irksome,tedious or irritating,3
prattle,speak about unimportant matters rapidly and incessantly,3
subaltern,inferior in rank or status,3
welt,a raised mark on the skin,3
wreak,cause to happen or to occur as a consequence,3
tenable,based on sound reasoning or evidence,3
inimitable,matchless,3
depredation,a destructive action,3
amalgamate,bring or combine together or with something else,3
immutable,not subject or susceptible to change or variation,3
proxy,a person authorized to act for another,3
dote,shower with love; show excessive affection for,3
reactionary,extremely conservative or resistant to change,3
rationalism,the doctrine that reason is the basis for regulating conduct,3
endue,give qualities or abilities to,3
discriminating,showing or indicating careful judgment and discernment,3
brooch,a decorative pin,3
pert,characterized by a lightly saucy or impudent quality,3
disembark,"exit from a ship, vehicle, or aircraft",3
aria,an elaborate song for solo voice,3
trappings,ornaments; embellishments to or characteristic signs of,3
abet,"assist or encourage, usually in some wrongdoing",3
clandestine,conducted with or marked by hidden aims or methods,3
distend,swell from or as if from internal pressure,3
glib,having only superficial plausibility,3
pucker,gather something into small wrinkles or folds,3
rejoinder,a quick reply to a question or remark,3
spangle,adornment consisting of a small piece of shiny material,3
blighted,affected by something that prevents growth or prosperity,3
nicety,conformity with some standard of correctness or propriety,3
aggrieve,infringe on the rights of,3
vestment,a gown worn by the clergy,3
urbane,showing a high degree of refinement,3
defray,bear the expenses of,3
spectral,resembling or characteristic of a phantom,3
munificent,very generous,3
dictum,an authoritative declaration,3
fad,an interest followed with exaggerated zeal,3
scabbard,a sheath for a sword or dagger or bayonet,3
adulterate,make impure by adding a foreign or inferior substance,3
beleaguer,annoy persistently,3
gripe,complain,3
remission,an abatement in intensity or degree,3
exorbitant,greatly exceeding bounds of reason or moderation,3
invocation,the act of appealing for help,3
cajole,"influence or urge by gentle urging, caressing, or flattering",3
inclusive,encompassing much or everything,3
interdict,command against,3
abase,cause to feel shame,3
obviate,do away with,3
hurtle,move with or as if with a rushing sound,3
unanimity,everyone being of one mind,3
mettle,the courage to carry on,3
interpolate,"insert words into texts, often falsifying it thereby",3
surreptitious,marked by quiet and caution and secrecy,3
dissimulate,hide feelings from other people,3
ruse,"a deceptive maneuver, especially to avoid capture",3
specious,plausible but false,3
revulsion,intense aversion,3
hale,exhibiting or restored to vigorous good health,3
palliate,lessen or to try to lessen the seriousness or extent of,3
obtuse,lacking in insight or discernment,3
querulous,habitually complaining,3
vagary,an unexpected and inexplicable change in something,3
incipient,only partly in existence; imperfectly formed,3
obdurate,stubbornly persistent in wrongdoing,3
parochial,narrowly restricted in outlook or scope,3
grovel,show submission or fear,3
refractory,stubbornly resistant to authority or control,3
dregs,sediment that has settled at the bottom of a liquid,3
ascendancy,the state when one person or group has power over another,3
supercilious,having or showing arrogant disdain or haughtiness,3
pundit,someone who has been admitted to membership in a field,3
commiserate,feel or express sympathy or compassion,3
alcove,a small recess opening off a larger room,3
assay,make an effort or attempt,3
conjugal,relating to the relationship between a wife and husband,3
abjure,formally reject or disavow a formerly held belief,3
frieze,an ornament consisting of a horizontal sculptured band,3
cabal,a clique that seeks power usually through intrigue,3
ornate,marked by complexity and richness of detail,3
inflammatory,arousing to action or rebellion,3
machination,a crafty and involved plot to achieve your ends,3
mendicant,a pauper who lives by begging,3
meander,move or cause to move in a winding or curving course,3
bullion,gold or silver in bars or ingots,3
diffidence,lack of self-assurance,3
makeshift,done or made using whatever is available,3
husbandry,the practice of cultivating the land or raising stock,3
podium,a platform raised above the surrounding level,3
dearth,an insufficient quantity or number,3
granary,a storehouse for threshed grain or animal feed,3
whet,make keen or more acute,3
imposture,pretending to be another person,3
diadem,an ornamental jeweled headdress signifying sovereignty,3
fallow,undeveloped but potentially useful,3
hubbub,loud confused noise from many sources,3
dispassionate,unaffected by strong emotion or prejudice,3
harrowing,causing extreme distress,3
askance,with suspicion or disapproval,3
lancet,a surgical knife with a pointed double-edged blade,3
rankle,make resentful or angry,3
ramify,have or develop complicating consequences,3
gainsay,take exception to,3
polity,a governmentally organized unit,3
credence,the mental attitude that something is believable,3
indemnify,make amends for; pay compensation for,3
ingratiate,gain favor with somebody by deliberate efforts,3
declivity,a downward slope or bend,3
importunate,making persistent or urgent requests,3
passe,out of fashion,3
whittle,cut small bits or pare shavings from,3
repine,express discontent,3
flay,strip the skin off,3
larder,a small storeroom for storing foods or wines,3
threadbare,thin and tattered with age,3
grisly,shockingly repellent; inspiring horror,3
untoward,not in keeping with accepted standards of what is proper,3
idiosyncrasy,a behavioral attribute peculiar to an individual,3
quip,make jokes or witty remarks,3
blatant,without any attempt at concealment; completely obvious,3
stanch,stop the flow of a liquid,3
incongruity,the quality of disagreeing,3
perfidious,tending to betray,3
platitude,a trite or obvious remark,3
revelry,unrestrained merrymaking,3
delve,"turn up, loosen, or remove earth",3
extenuate,lessen or to try to lessen the seriousness or degree of,3
polemic,"a verbal or written attack, especially of a belief or dogma",3
enrapture,hold spellbound,3
virtuoso,someone who is dazzlingly skilled in any field,3
glower,look angry or sullen as if to signal disapproval,3
mundane,found in the ordinary course of events,3
fatuous,devoid of intelligence,3
incorrigible,impervious to correction by punishment,3
postulate,maintain or assert,3
gist,the central meaning or theme of a speech or literary work,3
vociferous,conspicuously and offensively loud,3
purvey,supply with provisions,3
baleful,deadly or sinister,3
gibe,laugh at with contempt and derision,3
dyspeptic,irritable as if suffering from indigestion,3
prude,a person excessively concerned about propriety and decorum,3
luminary,a celebrity who is an inspiration to others,3
amenable,disposed or willing to comply,3
willful,habitually disposed to disobedience and opposition,3
overbearing,having or showing arrogant superiority to,3
dais,a platform raised above the surrounding level,3
automate,operate or make run by machines rather than human action,3
enervate,"weaken physically, mentally, or morally",3
wheedle,"influence or urge by gentle urging, caressing, or flattering",3
gusto,vigorous and enthusiastic enjoyment,3
bouillon,a clear seasoned broth,3
omniscient,"knowing, seeing, or understanding everything",3
apostate,not faithful to religion or party or cause,3
carrion,the dead and rotting body of an animal; unfit for human food,3
emolument,compensation received by virtue of holding an office,3
ungainly,lacking grace in movement or posture,3
impiety,unrighteousness by virtue of lacking respect for a god,3
decadence,the state of being degenerate in mental or moral qualities,3
homily,a sermon on a moral or religious topic,3
avocation,an auxiliary activity,3
circumvent,"avoid or try to avoid fulfilling, answering, or performing",3
syllogism,reasoning in which a conclusion is derived from two premises,3
collation,assembling in proper numerical or logical sequence,3
haggle,"wrangle, as over a price or terms of an agreement",3
waylay,wait in hiding to attack,3
savant,a learned person,3
cohort,a group of people having approximately the same age,3
unction,excessive but superficial compliments with affected charm,3
adjure,command solemnly,3
acrimony,a rough and bitter manner,3
clarion,loud and clear,3
turbid,clouded as with sediment,3
cupidity,extreme greed for material wealth,3
disaffected,discontented as toward authority,3
preternatural,surpassing the ordinary or normal,3
eschew,avoid and stay away from deliberately,3
expatiate,"add details, as to an account or idea",3
didactic,"instructive, especially excessively",3
sinuous,curved or curving in and out,3
rancor,a feeling of deep and bitter anger and ill-will,3
puissant,powerful,3
homespun,characteristic of country life,3
embroil,force into some kind of situation or course of action,3
pathological,caused by or evidencing a mentally disturbed condition,3
libretto,the words of an opera or musical play,3
flail,thrash about,3
bandy,discuss lightly,3
gratis,costing nothing,3
upshot,a phenomenon that is caused by some previous phenomenon,3
aphorism,a short pithy instructive saying,3
redoubtable,worthy of respect or honor,3
corpulent,excessively fat,3
benighted,lacking enlightenment or knowledge or culture,3
sententious,abounding in or given to pompous or aphoristic moralizing,3
paraphernalia,equipment consisting of miscellaneous articles,3
vitiate,make imperfect,3
adulation,exaggerated flattery or praise,3
quaff,swallow hurriedly or greedily or in one draught,3
unassuming,not arrogant,3
libertine,a dissolute person,3
maul,injure badly,3
adage,a condensed but memorable saying embodying an important fact,3
expostulation,the act of expressing earnest opposition or protest,3
tawdry,tastelessly showy,3
trite,repeated too often; overfamiliar through overuse,3
hireling,a person who works only for money,3
ensconce,fix firmly,3
egregious,conspicuously and outrageously bad or reprehensible,3
cogent,powerfully persuasive,3
incisive,demonstrating ability to recognize or draw fine distinctions,3
errant,straying from the right course or from accepted standards,3
sedulous,marked by care and persistent effort,3
incandescent,"characterized by ardent emotion, intensity, or brilliance",3
derelict,in deplorable condition,3
entomology,the branch of zoology that studies insects,3
execrable,unequivocally detestable,3
sluice,pour as if from a conduit that carries a rapid flow of water,3
moot,"of no legal significance, as having been previously decided",3
evanescent,short-lived; tending to vanish or disappear,3
vat,a large open vessel for holding or storing liquids,3
dapper,marked by up-to-dateness in dress and manners,3
asperity,harshness of manner,3
flair,a natural talent,3
mote,a tiny piece of anything,3
circumspect,careful to consider potential consequences and avoid risk,3
inimical,tending to obstruct or cause harm,3
apropos,"of a suitable, fitting, or pertinent nature",3
gruel,a thin porridge,3
gentility,elegance by virtue of fineness of manner and expression,3
disapprobation,pronouncing as wrong or morally culpable,3
cameo,engraving or carving in low relief on a stone,3
gouge,swindle; obtain by coercion,3
oratorio,a musical composition for voices and orchestra,3
inclement,"severe, of weather",3
scintilla,a tiny or scarcely detectable amount,3
confluence,a flowing together,3
squalor,sordid dirtiness,3
stricture,severe criticism,3
emblazon,decorate with heraldic arms,3
augury,an event indicating important things to come,4
abut,lie adjacent to another or share a boundary,4
banal,repeated too often; overfamiliar through overuse,4
congeal,"solidify, thicken, or come together",4
pilfer,make off with belongings of others,4
malcontent,a person who is unsatisfied or disgusted,4
sublimate,direct energy or urges into useful activities,4
eugenic,causing improvement in the offspring produced,4
lineament,the characteristic parts of a person's face,4
firebrand,someone who deliberately foments trouble,4
fiasco,a complete failure or collapse,4
foolhardy,marked by defiant disregard for danger or consequences,4
retrench,tighten one's belt; use resources carefully,4
ulterior,lying beyond what is openly revealed or avowed,4
equable,not varying,4
inured,made tough by habitual exposure,4
invidious,containing or implying a slight or showing prejudice,4
unmitigated,not diminished or moderated in intensity or severity,4
concomitant,an event or situation that happens at the same time,4
cozen,cheat or trick,4
phlegmatic,showing little emotion,4
dormer,a gabled extension built out from a sloping roof,4
pontifical,denoting or governed by or relating to a bishop or bishops,4
